player_id,is_batter,batting_hand_id,is_bowler,bowling_hand_id,is_keeper,nationality_id,bowling_style_id,bowling_pace_spin_id,captaincy_id
190024,1,1,1,1,0,610004,2,1,0
350104,1,2,1,1,1,1,5,2,0
380585,1,1,1,1,0,6,4,2,0
380804,1,2,1,1,1,610004,3,1,0
460085,1,1,1,1,1,1,4,2,1
460091,1,1,1,1,0,1,2,1,2
860006,1,2,1,1,1,1,3,1,0
860054,1,1,1,1,0,6,3,1,0
860068,1,1,1,1,0,4350121,5,2,0
860078,1,1,1,1,0,5180002,4,2,0
880149,1,2,1,1,0,1,2,1,0
920045,1,1,1,1,0,1,2,1,0
920128,1,1,1,2,0,6,4,2,0
920131,1,1,1,1,1,4390001,2,1,2
940135,1,1,1,1,0,1,5,2,1
1070441,1,1,1,1,0,1,4,2,0
1070522,1,2,1,2,0,1,1,1,0
1300007,1,2,1,2,0,1,2,1,0
1300030,1,1,1,1,0,610004,4,2,1
1300071,1,1,1,1,0,1,4,2,0
1300076,1,1,1,1,0,1,1,1,1
1300077,1,1,1,1,0,1,2,1,0
1440179,1,1,1,1,0,1,4,2,1
1450017,1,2,1,1,0,5,4,2,0
1590095,1,1,1,1,0,1,4,2,0
1590154,1,1,1,1,0,5180002,3,1,0
1590160,1,1,1,1,0,6,5,2,0
1610002,1,1,1,1,0,1,3,1,1
1940169,1,1,1,1,1,320001,3,1,0
2220039,1,1,1,1,0,6,2,1,0
2480058,1,1,1,1,0,6,3,1,0
2580024,1,1,1,1,0,4350005,4,2,1
2580055,1,1,1,1,0,1,1,1,0
2580072,1,1,1,1,0,1,3,1,1
2700021,1,1,1,1,0,1,2,1,0
2700191,1,2,1,2,0,610004,4,2,0
2740073,1,1,1,1,0,1,4,2,2
2780005,1,1,1,1,0,4350005,3,1,0
2780097,1,1,1,1,0,6,3,1,0
2780098,1,1,0,1,1,6,NULL,NULL,0
2780101,1,1,1,1,0,6,2,1,0
2780146,1,1,1,1,0,1,1,1,0
2790225,1,1,1,1,0,6,3,1,1
2950104,1,1,1,1,0,1,2,1,0
2960001,1,1,1,1,0,610004,2,1,0
2960012,1,1,1,1,0,1,2,1,1
3050039,1,1,1,1,0,1,5,2,0
3060024,1,1,1,1,0,6,3,1,0
3060041,1,1,1,1,1,610004,4,2,0
3080014,1,2,1,1,0,1,4,2,0
3080067,1,1,1,1,0,6,3,1,0
3080070,1,1,1,2,0,6,4,2,0
3110053,1,1,1,2,0,6,4,2,0
3170007,1,1,1,1,0,4440001,4,2,0
3200081,1,1,1,1,0,1,5,2,0
3300025,1,1,1,1,0,900001,3,1,0
3440001,1,1,1,1,0,6,3,1,0
3550205,1,2,1,1,0,1,5,2,0
3550415,1,1,0,1,1,6,NULL,NULL,0
3760008,1,1,1,1,0,6,4,2,1
3760009,1,1,1,1,0,6,1,1,0
3760056,1,1,1,1,0,610004,2,1,0
3760059,1,1,1,1,0,610004,4,2,0
4090006,1,1,1,1,1,6,4,2,0
4090015,1,1,1,1,0,610004,2,1,0
4350087,1,1,1,1,0,7,1,1,0
4352104,1,1,1,1,1,7,3,1,0
4352106,1,2,1,2,0,4350182,4,2,0
4352508,1,1,1,1,0,6,4,2,0
4353843,1,1,1,1,0,6,3,1,0
4380006,1,2,1,1,0,5180003,4,2,0
4380007,1,1,1,1,0,7,3,1,0
4380022,1,1,1,2,0,6,4,2,0
5460045,1,1,1,1,0,6,1,1,0
5460051,1,1,1,1,0,6,4,2,0
6020006,1,1,1,1,0,610004,2,1,0
